room_id,unit_id,id,created_at,deleted_at,updated_at
376928,UN9999,1,2023-01-21 02:14,2023-01-21 02:23,2023-01-21 02:23
378260,UN0677,2,2023-01-21 02:14,,
378261,UN1417,3,2023-01-21 02:14,2023-09-26 06:10,2023-09-26 06:10
378263,UN1827,4,2023-01-21 02:14,2023-05-04 07:40,2023-05-04 07:40
378263,UN1828,5,2023-01-21 02:14,2023-05-04 07:40,2023-05-04 07:40
378263,UN1829,6,2023-01-21 02:14,2023-05-04 07:40,2023-05-04 07:40
378264,UN0664,7,2023-01-21 02:14,2023-02-01 10:41,2023-02-01 10:41
378266,UN0680,8,2023-01-21 02:14,,
378267,UN0679,9,2023-01-21 02:14,,
378268,UN0678,10,2023-01-21 02:14,,
378269,UN0679,11,2023-01-21 02:14,,
378269,UN0680,12,2023-01-21 02:14,,
381223,UN2113 ,13,2023-01-21 02:14,2023-02-01 12:58,2023-02-01 12:58
381223,UN2115,14,2023-01-21 02:14,2023-08-30 03:45,2023-08-30 03:45
381223,UN2120,15,2023-01-21 02:14,2023-08-30 03:45,2023-08-30 03:45
381225,UN2116,16,2023-01-21 02:14,2023-08-30 03:45,2023-08-30 03:45
381226,UN2797,17,2023-01-21 02:14,,
381227,UN1827,18,2023-01-21 02:14,2023-09-29 03:29,2023-09-29 03:29
381227,UN1828,19,2023-01-21 02:14,2023-09-29 03:29,2023-09-29 03:29
381227,UN1829,20,2023-01-21 02:14,2023-09-29 03:29,2023-09-29 03:29
381228,UN1999,21,2023-01-21 02:14,,
381229,UN0677,22,2023-01-21 02:14,2023-07-28 09:10,2023-07-28 09:10
381229,UN0678,23,2023-01-21 02:14,2023-07-28 09:10,2023-07-28 09:10
381229,UN0679,24,2023-01-21 02:14,2023-07-28 09:10,2023-07-28 09:10
381229,UN0680,25,2023-01-21 02:14,2023-07-28 09:10,2023-07-28 09:10
381230,UN0664,26,2023-01-21 02:14,2023-03-02 05:17,2023-03-02 05:17
381230,UN0666,27,2023-01-21 02:14,2023-03-02 05:17,2023-03-02 05:17
